passage_id,class,source_id,word_count,char_len,era,chunk_method,band
great_000,great,Wharton_AgeOfInnocence,238,1484,pre1928,sent_budget,main
great_001,great,Stevenson_TreasureIsland,290,1455,pre1928,sent_budget,main
great_002,great,Conrad_HeartOfDarkness,184,998,pre1928,sent_budget,main
great_003,great,Melville_MobyDick,331,1779,pre1928,sent_budget,main
great_004,great,Wharton_AgeOfInnocence,339,1927,pre1928,sent_budget,main
great_005,great,Bronte_JaneEyre,377,2060,pre1928,sent_budget,main
great_006,great,Austen_PridePrejudice,317,1723,pre1928,sent_budget,main
great_007,great,Shelley_Frankenstein,398,2258,pre1928,sent_budget,main
great_008,great,Twain_HuckFinn,250,1276,pre1928,sent_budget,main
great_009,great,Twain_HuckFinn,278,1300,pre1928,sent_budget,main
great_010,great,Melville_MobyDick,200,1127,pre1928,sent_budget,main
great_011,great,Stevenson_TreasureIsland,390,2089,pre1928,sent_budget,main
great_012,great,Shelley_Frankenstein,317,1770,pre1928,sent_budget,main
great_013,great,Melville_MobyDick,280,1588,pre1928,sent_budget,main
great_014,great,Austen_PridePrejudice,341,1905,pre1928,sent_budget,main
great_015,great,Bronte_JaneEyre,239,1356,pre1928,sent_budget,main
great_016,great,Conrad_HeartOfDarkness,395,2227,pre1928,sent_budget,main
great_017,great,Shelley_Frankenstein,155,924,pre1928,sent_budget,main
great_018,great,Eliot_Middlemarch,396,2238,pre1928,sent_budget,main
great_019,great,Melville_MobyDick,373,2239,pre1928,sent_budget,main
great_020,great,Twain_HuckFinn,162,778,pre1928,sent_budget,main
great_021,great,Austen_Emma,371,1943,pre1928,sent_budget,main
great_022,great,Wharton_AgeOfInnocence,316,1850,pre1928,sent_budget,main
great_023,great,Twain_HuckFinn,338,1668,pre1928,sent_budget,main
great_024,great,Dickens_GreatExpectations,387,2129,pre1928,sent_budget,main
great_025,great,Stevenson_TreasureIsland,284,1486,pre1928,sent_budget,main
great_026,great,Bronte_JaneEyre,163,911,pre1928,sent_budget,main
great_027,great,Twain_HuckFinn,301,1564,pre1928,sent_budget,main
great_028,great,Melville_MobyDick,239,1268,pre1928,sent_budget,main
great_029,great,Eliot_Middlemarch,204,1094,pre1928,sent_budget,main
great_030,great,Conrad_HeartOfDarkness,156,872,pre1928,sent_budget,main
great_031,great,Austen_PridePrejudice,236,1278,pre1928,sent_budget,main
great_032,great,Wharton_AgeOfInnocence,283,1568,pre1928,sent_budget,main
great_033,great,Shelley_Frankenstein,192,1016,pre1928,sent_budget,main
great_034,great,Eliot_Middlemarch,254,1348,pre1928,sent_budget,main
great_035,great,Melville_MobyDick,203,1178,pre1928,sent_budget,main
great_036,great,Dickens_GreatExpectations,275,1400,pre1928,sent_budget,main
great_037,great,Austen_PridePrejudice,202,1142,pre1928,sent_budget,main
great_038,great,Wharton_AgeOfInnocence,362,1960,pre1928,sent_budget,main
great_039,great,Dickens_GreatExpectations,268,1392,pre1928,sent_budget,main
great_040,great,Bronte_JaneEyre,211,1166,pre1928,sent_budget,main
great_041,great,Conrad_HeartOfDarkness,254,1375,pre1928,sent_budget,main
great_042,great,Shelley_Frankenstein,252,1483,pre1928,sent_budget,main
great_043,great,Wharton_AgeOfInnocence,287,1592,pre1928,sent_budget,main
great_044,great,Twain_HuckFinn,266,1316,pre1928,sent_budget,main
great_045,great,Conrad_HeartOfDarkness,205,1145,pre1928,sent_budget,main
great_046,great,Stevenson_TreasureIsland,280,1454,pre1928,sent_budget,main
great_047,great,Austen_Emma,188,1012,pre1928,sent_budget,main
great_048,great,Dickens_GreatExpectations,246,1309,pre1928,sent_budget,main
great_049,great,Bronte_JaneEyre,355,2151,pre1928,sent_budget,main
great_050,great,Dickens_GreatExpectations,362,1906,pre1928,sent_budget,main
great_051,great,Stevenson_TreasureIsland,318,1662,pre1928,sent_budget,main
great_052,great,Austen_Emma,326,1790,pre1928,sent_budget,main
great_053,great,Wilde_DorianGray,199,1117,pre1928,sent_budget,main
great_054,great,Melville_MobyDick,165,962,pre1928,sent_budget,main
great_055,great,Bronte_JaneEyre,205,1127,pre1928,sent_budget,main
